Clau,Accidents,Mat,Tar,Nit,Mat_P,Tar_p,Nit_p
1220173,68,27.0,33.0,8.0,0.39705882352941174,0.4852941176470588,0.11764705882352941
1220174,74,34.0,30.0,10.0,0.4594594594594595,0.40540540540540543,0.13513513513513514
1220181,76,36.0,37.0,3.0,0.47368421052631576,0.4868421052631579,0.039473684210526314
1220182,80,35.0,35.0,10.0,0.4375,0.4375,0.125
1220183,46,16.0,25.0,5.0,0.34782608695652173,0.5434782608695652,0.10869565217391304
1220184,71,35.0,29.0,7.0,0.49295774647887325,0.4084507042253521,0.09859154929577464
1220191,76,33.0,30.0,13.0,0.4342105263157895,0.39473684210526316,0.17105263157894737
1220192,70,23.0,42.0,5.0,0.32857142857142857,0.6,0.07142857142857142
1220193,65,20.0,37.0,8.0,0.3076923076923077,0.5692307692307692,0.12307692307692308
1220194,92,39.0,45.0,8.0,0.42391304347826086,0.4891304347826087,0.08695652173913043
1220201,73,47.0,21.0,5.0,0.6438356164383562,0.2876712328767123,0.0684931506849315
1220202,34,15.0,10.0,9.0,0.4411764705882353,0.29411764705882354,0.2647058823529412
1220203,40,14.0,21.0,5.0,0.35,0.525,0.125
1220204,52,26.0,19.0,7.0,0.5,0.36538461538461536,0.1346153846153846
1220211,39,19.0,17.0,3.0,0.48717948717948717,0.4358974358974359,0.07692307692307693
1220212,46,16.0,25.0,5.0,0.34782608695652173,0.5434782608695652,0.10869565217391304
1220213,47,14.0,26.0,7.0,0.2978723404255319,0.5531914893617021,0.14893617021276595
1220214,50,29.0,18.0,3.0,0.58,0.36,0.06
1220221,44,21.0,19.0,4.0,0.4772727272727273,0.4318181818181818,0.09090909090909091
1220222,65,23.0,33.0,9.0,0.35384615384615387,0.5076923076923077,0.13846153846153847
1220223,40,13.0,20.0,7.0,0.325,0.5,0.175
1220224,54,18.0,30.0,6.0,0.3333333333333333,0.5555555555555556,0.1111111111111111
1320161,24,12.0,8.0,4.0,0.5,0.3333333333333333,0.16666666666666666
1320162,27,12.0,13.0,2.0,0.4444444444444444,0.48148148148148145,0.07407407407407407
1320163,25,8.0,9.0,8.0,0.32,0.36,0.32
1320164,15,7.0,4.0,4.0,0.4666666666666667,0.26666666666666666,0.26666666666666666
1320171,26,16.0,9.0,1.0,0.6153846153846154,0.34615384615384615,0.038461538461538464
1320172,34,18.0,13.0,3.0,0.5294117647058824,0.38235294117647056,0.08823529411764706
1320173,17,4.0,11.0,2.0,0.23529411764705882,0.6470588235294118,0.11764705882352941
1320174,23,12.0,8.0,3.0,0.5217391304347826,0.34782608695652173,0.13043478260869565
1320181,22,11.0,11.0,0.0,0.5,0.5,0.0
1320182,20,9.0,10.0,1.0,0.45,0.5,0.05
1320183,22,8.0,11.0,3.0,0.36363636363636365,0.5,0.13636363636363635
1320184,21,12.0,7.0,2.0,0.5714285714285714,0.3333333333333333,0.09523809523809523
1320191,31,10.0,15.0,6.0,0.3225806451612903,0.4838709677419355,0.1935483870967742
1320192,29,16.0,8.0,5.0,0.5517241379310345,0.27586206896551724,0.1724137931034483
1320193,28,14.0,12.0,2.0,0.5,0.42857142857142855,0.07142857142857142
1320194,20,9.0,10.0,1.0,0.45,0.5,0.05
1320201,32,17.0,12.0,3.0,0.53125,0.375,0.09375
1320202,10,2.0,5.0,3.0,0.2,0.5,0.3
1320203,22,10.0,8.0,4.0,0.45454545454545453,0.36363636363636365,0.18181818181818182
1320204,21,6.0,9.0,6.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
1320211,24,10.0,14.0,0.0,0.4166666666666667,0.5833333333333334,0.0
1320212,27,6.0,18.0,3.0,0.2222222222222222,0.6666666666666666,0.1111111111111111
1320213,35,18.0,14.0,3.0,0.5142857142857142,0.4,0.08571428571428572
1320214,48,23.0,16.0,9.0,0.4791666666666667,0.3333333333333333,0.1875
1320221,24,9.0,10.0,5.0,0.375,0.4166666666666667,0.20833333333333334
1320222,28,11.0,17.0,0.0,0.39285714285714285,0.6071428571428571,0.0
1320223,27,14.0,10.0,3.0,0.5185185185185185,0.37037037037037035,0.1111111111111111
1320224,31,12.0,17.0,2.0,0.3870967741935484,0.5483870967741935,0.06451612903225806
1420161,24,13.0,9.0,2.0,0.5416666666666666,0.375,0.08333333333333333
1420162,18,9.0,6.0,3.0,0.5,0.3333333333333333,0.16666666666666666
1420163,17,7.0,7.0,3.0,0.4117647058823529,0.4117647058823529,0.17647058823529413
1420164,24,11.0,13.0,0.0,0.4583333333333333,0.5416666666666666,0.0
1420171,23,8.0,13.0,2.0,0.34782608695652173,0.5652173913043478,0.08695652173913043
1420172,8,3.0,4.0,1.0,0.375,0.5,0.125
