"Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"2","Eixample","6","la Sagrada Família","40-45 dB","1.75%","20.79%","21.22%","0.00%","2.63%","22.11%","21.20%","0.00%","8.92%","13.82%","10.43%","9.05%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","5.50%","4.74%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","45-50 dB","37.91%","22.27%","0.90%","34.61%","41.31%","22.71%","0.90%","37.99%","19.31%","11.88%","2.83%","20.47%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.43%","1.89%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","50-55 dB","1.36%","0.81%","4.82%","7.78%","1.35%","0.85%","4.82%","7.04%","2.25%","2.73%","4.52%","3.55%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.42%","1.71%","0.00%","1.68%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","55-60 dB","4.63%","3.91%","7.44%","2.31%","3.07%","4.76%","7.44%","1.51%","3.51%","4.42%","4.03%","2.86%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","3.84%","3.12%","0.00%","0.83%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","60-65 dB","8.89%","9.55%","32.88%","8.19%","6.37%","6.97%","32.88%","6.42%","5.13%","4.19%","5.23%","5.69%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.28%","0.00%","0.00%","1.79%","1.79%","0.00%"
"2","Eixample","6","la Sagrada Família","65-70 dB","24.65%","32.32%","9.02%","13.35%","24.67%","32.26%","9.02%","13.09%","3.49%","4.64%","6.27%","3.36%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","70-75 dB","20.24%","10.25%","0.00%","30.37%","20.03%","10.24%","0.00%","30.56%","8.84%","6.89%","0.00%","7.86%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família","75-80 dB","0.47%","0.00%","0.00%","3.29%","0.47%","0.00%","0.00%","3.29%","0.20%","0.00%","0.00%","2.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","6","la Sagrada Família",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","<40 dB","0.05%","0.05%","12.39%","0.06%","0.07%","0.07%","12.84%","0.07%","11.04%","15.97%","48.37%","7.70%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","95.65%","95.89%","94.53%","89.27%","92.86%","100.00%"
"2","Eixample","7","la Dreta de l'Eixample","40-45 dB","1.59%","8.77%","31.97%","0.00%","1.62%","10.29%","31.61%","0.00%","27.37%","31.74%","20.07%","21.98%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.51%","1.32%","1.37%","0.00%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","45-50 dB","30.56%","28.81%","2.15%","22.68%","39.60%","34.05%","2.15%","28.86%","28.27%","20.78%","4.99%","28.86%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.06%","0.98%","0.62%","0.00%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","50-55 dB","3.18%","1.91%","2.14%","14.43%","4.52%","2.13%","2.20%","16.14%","5.02%","4.82%","6.09%","11.57%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.50%","0.31%","0.35%","3.17%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","55-60 dB","7.09%","4.46%","8.41%","5.47%","1.92%","2.13%","8.92%","2.21%","5.37%","5.98%","5.39%","5.03%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.91%","1.50%","1.85%","3.19%","2.77%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","60-65 dB","9.28%","12.75%","27.51%","7.54%","4.30%","8.30%","27.10%","3.04%","6.00%","5.48%","4.89%","6.19%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.37%","0.00%","1.28%","4.37%","4.37%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","65-70 dB","24.20%","27.24%","15.43%","17.39%","23.92%","27.03%","15.18%","17.45%","4.03%","4.58%","10.20%","4.51%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","70-75 dB","21.48%","16.01%","0.00%","25.78%","21.48%","16.00%","0.00%","25.80%","10.98%","10.65%","0.00%","9.26%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","7","la Dreta de l'Eixample","75-80 dB","2.57%","0.00%","0.00%","6.65%","2.57%","0.00%","0.00%","6.43%","1.92%","0.00%","0.00%","4.90%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
